,OBJECTID,FEATUREID,ZORDER,ANNOTATIONCLASSID,ADDRESS_,ADDRESS_ID,LAST_MOD,DRAW,PROP_CODE,CREATION_DATE,LAST_UPDATE_DATE,TEXT,SYMBOLID,STATUS,TEXTSTRING,FONTNAME,FONTSIZE,BOLD,ITALIC,UNDERLINE,VERTICALALIGNMENT,HORIZONTALALIGNMENT,XOFFSET,YOFFSET,ANGLE,FONTLEADING,WORDSPACING,CHARACTERWIDTH,CHARACTERSPACING,FLIPANGLE,OVERRIDE,SHAPE.AREA,SHAPE.LEN,SHAPE
205,35569,,,0,35569.0,39976.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:51:26,,0,0,19325,Arial,7.2,0,0,0,2,0,0,0,23.6293932,0,100,100,0,180,223,1242.6154931824901,155.91571180553302,"{'rings': [[[1245166.1660034359, 548875.7753494084], [1245157.2101261616, 548896.2447020411], [1245208.1628774107, 548918.5369323492], [1245217.116612658, 548898.0654376745], [1245166.1660034359, 548875.7753494084]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
206,35572,,,0,35572.0,39911.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:18:05,,0,0,19411,Arial,7.2,0,0,0,2,0,0,0,-64.1556243,0,100,100,0,180,223,1242.6718449245,155.918774093757,"{'rings': [[[1245263.1683720052, 549183.6788817793], [1245283.2778615803, 549193.4187464118], [1245307.5214920938, 549143.3656527549], [1245287.4120025039, 549133.6257881224], [1245263.1683720052, 549183.6788817793]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
207,35567,,,0,35567.0,40055.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:53:07,,0,0,19315,Arial,7.2,0,0,0,2,0,0,0,24.12098271,0,100,100,0,180,223,1242.64214916468,155.918007120661,"{'rings': [[[1245288.881443262, 548599.3319867849], [1245279.7499185354, 548619.7242259085], [1245330.5098860264, 548642.4512907267], [1245339.6414107531, 548622.0590516031], [1245288.881443262, 548599.3319867849]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
208,35551,,,0,35551.0,40877.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:48:00,,0,0,11405,Arial,5.76,0,0,0,2,0,0,0,-66.80121275,0,100,100,0,180,223,795.301643708404,124.734626084586,"{'rings': [[[1245753.4191138148, 548912.9483449608], [1245769.8491108865, 548919.9897722751], [1245787.375297919, 548879.0949788839], [1245770.9458363503, 548872.0535515547], [1245753.4191138148, 548912.9483449608]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
209,35550,,,0,35550.0,40878.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:46:19,,0,0,11403,Arial,5.76,0,0,0,2,0,0,0,-63.824672,0,100,100,0,180,223,795.287224265076,124.733757353265,"{'rings': [[[1245832.7453524023, 548942.746825695], [1245848.787104383, 548950.6316820085], [1245868.4135635197, 548910.702414006], [1245852.371811539, 548902.8175576776], [1245832.7453524023, 548942.746825695]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
210,27744,,,0,27744.0,25933.0,1899-12-30 00:00:00, ,7,,2004-09-08 08:08:32,,0,0,19531,Arial,7.2,0,0,0,2,0,0,0,-59.18431391,0,100,100,0,180,223,1242.63291053482,155.918651862296,"{'rings': [[[1245259.9981499463, 549786.8457571119], [1245279.18656151, 549798.290687114], [1245307.677861154, 549750.5274362862], [1245288.4894495904, 549739.0803642422], [1245259.9981499463, 549786.8457571119]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
211,36032,,,0,36032.0,40599.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:39:22,,0,0,11345,Arial,5.76,0,0,0,2,0,0,0,78.1785118,0,100,100,0,180,223,795.2706913159751,124.733603085856,"{'rings': [[[1245945.4622760415, 546945.6263540238], [1245927.9682196379, 546949.2892457098], [1245937.0826080292, 546992.8369580358], [1245954.57880646, 546989.1762083918], [1245945.4622760415, 546945.6263540238]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
212,35990,,,0,35990.0,40639.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:19:50,,0,0,11340,Arial,5.76,0,0,0,2,0,0,0,64.48613658,0,100,100,0,180,223,795.2705857840721,124.732692809449,"{'rings': [[[1245950.0226832926, 546803.19984442], [1245933.8909655511, 546810.8983430862], [1245953.0558146536, 546851.0509189665], [1245969.1875323951, 546843.3524202853], [1245950.0226832926, 546803.19984442]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
213,36028,,,0,36028.0,40647.0,1899-12-30 00:00:00,YES,7,,,,0,0,11329,Arial,5.76,0,0,0,2,0,0,0,3.3997276100000002,0,100,100,0,180,223,795.286626633322,124.734245604725,"{'rings': [[[1246129.3008821756, 546738.152457282], [1246128.2427134663, 546755.9956665188], [1246172.6558107287, 546758.6346621662], [1246173.7161214799, 546740.7914529443], [1246129.3008821756, 546738.152457282]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
214,662564,,,0,35407.0,40447.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:26:39,,0,0,19100,Arial,4.68,0,0,0,2,0,0,0,-18.69094503,0,100,100,0,180,64,525.016374782475,101.346533062668,"{'rings': [[[1246379.488701418, 547606.6358584762], [1246384.1433585137, 547620.3931227326], [1246418.3865762353, 547608.8084245026], [1246413.7324546427, 547595.0511602312], [1246379.488701418, 547606.6358584762]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
215,36038,,,0,36038.0,40632.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:36:25,,0,0,19010,Arial,7.2,0,0,0,2,0,0,0,77.31962575,0,100,100,0,180,223,1242.6271452810802,155.916149284811,"{'rings': [[[1246521.6030084193, 546813.36597538], [1246499.8034477383, 546818.2712513953], [1246512.0130867213, 546872.5291733444], [1246533.8105053455, 546867.6238973439], [1246521.6030084193, 546813.36597538]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
216,408194,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,19,Arial,5.0,0,0,0,2,0,0,0,30.09014102,0,100,100,0,180,64,239.698282288781,61.9289196788363,"{'rings': [[[1246766.3607513756, 547541.3303553015], [1246758.5813906193, 547554.7556030601], [1246771.947732225, 547562.5006911457], [1246779.7270929813, 547549.075443387], [1246766.3607513756, 547541.3303553015]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
217,407876,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11120,Arial,5.0,0,0,0,2,0,0,0,-33.22848498,0,100,100,0,180,64,599.2687642276701,108.276233648545,"{'rings': [[[1246857.2010008246, 547419.0572471321], [1246865.7038362473, 547432.036414668], [1246898.0106480569, 547410.8725049496], [1246889.507812649, 547397.8933374137], [1246857.2010008246, 547419.0572471321]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
218,35540,,,0,35540.0,40289.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:59:01,,0,0,19108,Arial,5.76,0,0,0,2,0,0,0,0.0,0,100,100,0,180,223,795.315927795595,124.73538535377301,"{'rings': [[[1245986.020233348, 547945.3837235421], [1245986.020233348, 547963.2590633929], [1246030.5125861615, 547963.2590633929], [1246030.5125861615, 547945.3837235421], [1245986.020233348, 547945.3837235421]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
219,35536,,,0,35536.0,40180.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:12:20,,0,0,19116,Arial,5.76,0,0,0,2,0,0,0,-50.06358783,0,100,100,0,180,223,795.307427889063,124.735241945046,"{'rings': [[[1246125.9100297987, 548247.0951482058], [1246139.615885064, 548258.5695312917], [1246168.1773365736, 548224.4548360854], [1246154.4714813232, 548212.9799174964], [1246125.9100297987, 548247.0951482058]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
220,35415,,,0,35415.0,40306.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:26:54,,0,0,11305,Arial,5.76,0,0,0,2,0,0,0,-65.97362165,0,100,100,0,180,223,795.292533552172,124.73400890962002,"{'rings': [[[1246149.809327066, 547932.6680271626], [1246166.1354351044, 547939.9461501092], [1246184.2506836653, 547899.3089372516], [1246167.9245756269, 547892.030814305], [1246149.809327066, 547932.6680271626]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
221,35418,,,0,35418.0,40217.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:11:04,,0,0,19115,Arial,5.76,0,0,0,2,0,0,0,-50.04246918,0,100,100,0,180,223,795.3201949551491,124.73569955953701,"{'rings': [[[1246190.3919178545, 548150.2014882863], [1246204.092418015, 548161.682833001], [1246232.6672572792, 548127.5772414804], [1246218.9646150917, 548116.0980388075], [1246190.3919178545, 548150.2014882863]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
222,35427,,,0,35427.0,40097.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:50:41,,0,0,11302,Arial,5.76,0,0,0,2,0,0,0,-34.11445235,0,100,100,0,180,223,795.272288059551,124.73139858667301,"{'rings': [[[1246719.6369263828, 548578.1236296892], [1246729.6616825908, 548592.9229973406], [1246766.4962355196, 548567.9703509659], [1246756.4714793265, 548553.1709833145], [1246719.6369263828, 548578.1236296892]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
223,662593,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11211,Arial,4.7,0,0,0,2,0,0,0,30.09014101,0,100,100,0,180,64,529.510401975315,101.77932498168501,"{'rings': [[[1246760.883550167, 547902.8395578563], [1246753.5711545497, 547915.4593978524], [1246784.983128354, 547933.6608635932], [1246792.2955239713, 547921.0410235971], [1246760.883550167, 547902.8395578563]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
